gene,gene2,ess.curated.model,ess.experimental
SO0014,,yes,yes
SO0015,,yes,yes
SO0020,,no,no
SO0021,,no,no
SO0024,,no,no
SO0025,,no,no
SO0027,,no,no
SO0028,,no,no
SO0031,,no,yes
SO0038,,no,no
SO0040,,yes,no
SO0049,,yes,yes
SO0053,,yes,yes
SO0057,,no,no
SO0058,,no,no
SO0069,,no,no
SO0070,,no,no
SO0083,,no,no
SO0092,,no,no
SO0093,,no,no
SO0095,,no,no
SO0097,,no,no
SO0098,,no,no
SO0101,,no,no
SO0102,,no,no
SO0103,,no,no
SO0131,,no,no
SO0142,,no,no
SO0157,,no,no
SO0162,,no,no
SO0191,,no,no
SO0194,,yes,no
SO0196,,no,no
SO0207,,yes,yes
SO0213,,yes,yes
SO0215,,yes,yes
SO0228,,yes,yes
SO0230,,yes,yes
SO0231,,yes,yes
SO0235,,yes,yes
SO0236,,yes,yes
SO0238,,yes,yes
SO0243,,yes,yes
SO0245,,yes,yes
SO0248,,yes,yes
SO0252,,yes,no
SO0255,,yes,yes
SO0274,,no,no
SO0275,,yes,no
SO0276,,yes,no
SO0277,,no,no
SO0278,,no,no
SO0279,,no,no
SO0286,,yes,no
SO0287,,yes,no
SO0292,,no,no
SO0293,,no,no
SO0294,,yes,yes
SO0298,,yes,no
SO0313,,no,no
SO0314,,no,no
SO0340,,no,no
SO0343,,no,no
SO0344,,no,no
SO0345,,no,no
SO0354,,no,no
SO0359,,no,no
SO0361,,yes,yes
SO0408,,no,no
SO0410,,no,no
SO0413,,yes,yes
SO0419,,yes,no
SO0424,,no,no
SO0425,,no,no
SO0426,,yes,yes
SO0432,,no,yes
SO0435,,no,yes
SO0441,,yes,no
SO0442,,yes,no
SO0468,,no,yes
SO0486,,no,no
SO0487,,no,no
SO0488,,no,no
SO0504,,no,no
SO0506,,no,yes
SO0511,,yes,no
SO0512,,yes,no
SO0530,,no,no
SO0533,,no,no
SO0534,,no,no
SO0538,,no,no
SO0560,,no,no
SO0567,,yes,no
SO0587,,no,no
SO0590,,yes,no
SO0600,,no,no
SO0608,,no,no
SO0609,,no,no
SO0610,,no,no
SO0613,,yes,no
SO0617,,yes,no
SO0618,,no,no
SO0619,,no,no
SO0694,,no,no
SO0695,,no,no
SO0714,,no,no
SO0715,,no,no
SO0716,,no,no
SO0717,,no,no
SO0725,,no,no
SO0742,,no,no
SO0743,,no,no
SO0744,,no,no
SO0747,,no,no
SO0750,,no,no
SO0756,,no,no
SO0760,,no,no
SO0765,,no,no
SO0770,,no,no
SO0777,,no,yes
SO0779,,no,no
SO0780,,no,no
SO0781,,no,no
SO0807,,no,no
SO0810,,no,no
SO0815,,no,no
SO0818,,no,no
SO0827,,no,no
SO0831,,no,no
SO0840,,yes,yes
SO0845,,no,no
SO0846,,no,no
SO0847,,no,no
SO0848,,no,no
SO0858,,no,no
SO0862,,no,no
SO0869,,yes,yes
SO0870,,yes,no
SO0871,,no,no
SO0878,,no,no
SO0902,,no,no
SO0903,,no,no
SO0904,,no,no
SO0905,,no,no
SO0906,,no,no
SO0907,,no,no
SO0919,,no,no
SO0922,,no,no
SO0929,,yes,yes
SO0930,,yes,yes
SO0931,,no,no
SO0932,,yes,no
SO0933,,yes,yes
SO0935,,no,no
SO0949,,no,no
SO0968,,no,no
SO0970,,no,no
SO0978,,no,no
SO0986,,no,no
SO0992,,yes,yes
SO1001,,no,no
SO1009,,no,no
SO1010,,no,no
SO1011,,no,no
SO1012,,no,no
SO1013,,no,no
SO1014,,no,no
SO1015,,no,no
SO1016,,no,no
SO1017,,no,no
SO1018,,no,no
SO1019,,no,no
SO1020,,no,no
SO1021,,no,no
SO1030,,no,no
SO1031,,no,no
SO1033,,no,no
SO1034,,no,no
SO1035,,no,no
SO1036,,no,no
SO1037,,no,no
SO1038,,no,no
SO1039,,no,no
SO1042,,no,no
SO1043,,no,no
SO1044,,no,no
SO1052,,no,no
SO1070,,no,no
SO1074,,no,no
SO1095,,no,no
SO1101,,no,no
SO1103,,no,no
SO1104,,no,no
SO1105,,no,no
SO1106,,no,no
SO1107,,no,no
SO1108,,no,yes
SO1121,,yes,no
SO1122,,yes,no
SO1140,,yes,yes
SO1141,,no,no
SO1142,,no,no
SO1145,,no,no
SO1150,,no,yes
SO1171,,yes,yes
SO1174,,yes,yes
SO1178,,no,yes
SO1183,,no,yes
SO1198,,yes,yes
SO1199,,yes,yes
SO1200,,yes,yes
SO1214,,no,no
SO1217,,no,no
SO1218,,no,no
SO1219,,no,no
SO1221,,no,no
SO1223,,no,no
SO1232,,no,no
SO1233,,no,no
SO1256,,no,no
SO1258,,no,no
SO1261,,no,no
SO1267,,no,no
SO1268,,no,no
SO1270,,no,no
SO1271,,no,no
SO1272,,no,no
SO1273,,no,no
SO1274,,no,no
SO1275,,no,no
SO1276,,no,no
SO1291,,yes,yes
SO1292,,no,no
SO1293,,no,no
SO1300,,no,yes
SO1301,,no,no
SO1302,,no,no
SO1307,,no,no
SO1315,,yes,yes
SO1321,,no,no
SO1322,,no,yes
SO1324,,no,no
SO1325,,no,no
SO1329,,no,no
SO1335,,yes,yes
SO1336,,no,no
SO1341,,yes,no
SO1351,,no,yes
SO1352,,no,no
SO1357,,yes,yes
SO1361,,no,no
SO1362,,no,no
SO1366,,no,no
SO1367,,yes,no
SO1397,,no,no
SO1406,,no,no
SO1407,,no,no
SO1427,,no,no
SO1428,,no,no
SO1429,,no,no
SO1430,,no,no
SO1481,,no,no
SO1483,,no,no
SO1484,,no,no
SO1493,,no,no
SO1494,,no,no
SO1495,,no,no
SO1496,,no,no
SO1498,,yes,no
SO1499,,yes,no
SO1518,,no,no
SO1519,,no,no
SO1520,,no,no
SO1521,,no,no
SO1522,,no,no
SO1523,,no,yes
SO1525,,no,yes
SO1526,,no,no
SO1531,,no,no
SO1538,,no,yes
SO1560,,no,no
SO1563,,no,no
SO1565,,no,no
SO1624,,no,no
SO1625,,yes,yes
SO1630,,yes,yes
SO1631,,no,yes
SO1632,,yes,yes
SO1633,,no,yes
SO1634,,yes,yes
SO1635,,no,yes
SO1639,,yes,yes
SO1640,,yes,yes
SO1641,,yes,yes
SO1642,,yes,yes
SO1647,,no,no
SO1653,,no,no
SO1655,,no,no
SO1664,,no,no
SO1665,,yes,no
SO1666,,no,no
SO1667,,no,no
SO1670,,no,no
SO1671,,no,no
SO1676,,yes,no
SO1678,,no,no
SO1682,,no,no
SO1689,,no,no
SO1708,,no,no
SO1723,,no,no
SO1724,,no,no
SO1725,,no,yes
SO1742,,no,no
SO1755,,no,no
SO1770,,no,no
SO1771,,no,no
SO1777,,no,no
SO1778,,no,no
SO1779,,no,no
SO1784,,no,no
SO1786,,yes,yes
SO1789,,yes,yes
SO1791,,yes,yes
SO1792,,no,yes
SO1800,,yes,yes
SO1801,,no,no
SO1802,,no,no
SO1803,,no,no
SO1804,,no,no
SO1805,,no,no
SO1812,,no,no
SO1856,,yes,yes
SO1862,,yes,yes
SO1870,,no,no
SO1871,,yes,no
SO1879,,yes,yes
SO1891,,no,no
SO1892,,no,no
SO1893,,no,yes
SO1894,,no,no
SO1895,,no,no
SO1896,,no,no
SO1897,,no,no
SO1900,,no,no
SO1902,,no,no
SO1910,,no,no
SO1926,,no,no
SO1927,,no,yes
SO1928,,no,yes
SO1929,,no,yes
SO1930,,no,yes
SO1931,,no,yes
SO1932,,no,no
SO1933,,no,no
SO1941,,no,no
SO1948,,no,no
SO1961,,no,no
SO1962,,no,no
SO1963,,no,no
SO1981,,no,no
SO2001,,no,no
SO2012,,no,no
SO2018,,yes,yes
SO2019,,no,no
SO2020,,no,no
SO2021,,yes,yes
SO2044,,no,no
SO2054,,no,no
SO2055,,no,no
SO2065,,no,no
SO2067,,yes,no
SO2068,,yes,no
SO2069,,yes,no
SO2070,,yes,no
SO2071,,yes,no
SO2072,,yes,no
SO2073,,yes,no
SO2074,,yes,no
SO2085,,yes,yes
SO2086,,yes,yes
SO2088,,yes,no
SO2097,,no,no
SO2098,,no,no
SO2099,,no,no
SO2112,,yes,yes
SO2115,,no,no
SO2136,,no,no
SO2178,,no,no
SO2191,,yes,no
SO2203,,no,no
SO2213,,no,no
SO2217,,yes,yes
SO2218,,yes,yes
SO2221,,yes,no
SO2222,,yes,yes
SO2248,,no,no
SO2250,,no,no
SO2260,,no,no
SO2262,,no,yes
SO2264,,no,yes
SO2274,,yes,yes
SO2278,,no,no
SO2279,,no,no
SO2286,,no,no
SO2296,,yes,no
SO2299,,yes,yes
SO2302,,yes,yes
SO2303,,yes,no
SO2304,,no,no
SO2310,,yes,yes
SO2328,,yes,yes
SO2336,,yes,no
SO2338,,no,no
SO2339,,yes,no
SO2340,,yes,no
SO2341,,yes,no
SO2342,,yes,no
SO2345,,no,yes
SO2347,,no,no
SO2350,,no,no
SO2361,,no,no
SO2362,,no,no
SO2363,,no,no
SO2364,,no,no
SO2390,,no,no
SO2398,,no,no
SO2403,,no,no
SO2404,,yes,no
SO2406,,no,no
SO2410,,no,yes
SO2413,,no,yes
SO2415,,no,yes
SO2416,,no,yes
SO2421,,no,no
SO2433,,yes,yes
SO2440,,no,no
SO2441,,no,no
SO2442,,no,no
SO2443,,no,no
SO2444,,no,no
SO2445,,no,no
SO2459,,no,no
SO2471,,yes,yes
SO2474,,yes,no
SO2478,,yes,yes
SO2485,,no,no
SO2486,,no,no
SO2487,,no,no
SO2488,,no,no
SO2489,,no,no
SO2491,,no,no
SO2508,,no,yes
SO2509,,no,yes
SO2510,,no,no
SO2511,,no,yes
SO2512,,no,yes
SO2513,,no,yes
SO2524,,no,no
SO2536,,no,no
SO2537,,no,no
SO2563,,no,no
SO2581,,no,no
SO2587,,no,no
SO2592,,no,no
SO2593,,no,no
SO2613,,yes,yes
SO2614,,no,no
SO2615,,no,no
SO2616,,no,no
SO2617,,no,no
SO2619,,yes,yes
SO2629,,no,no
SO2635,,yes,yes
SO2638,,no,no
SO2644,,no,no
SO2646,,no,no
SO2706,,no,no
SO2713,,no,no
SO2719,,no,no
SO2727,,no,no
SO2737,,no,no
SO2739,,no,no
SO2740,,no,yes
SO2741,,no,yes
SO2743,,no,no
SO2745,,no,no
SO2759,,no,no
SO2760,,yes,no
SO2761,,no,no
SO2767,,no,no
SO2771,,no,no
SO2774,,yes,no
SO2776,,yes,yes
SO2777,,yes,yes
SO2778,,no,yes
SO2780,,yes,no
SO2784,,no,no
SO2791,,no,no
SO2801,,yes,yes
SO2831,,no,yes
SO2834,,no,no
SO2836,,no,no
SO2851,,yes,no
SO2853,,no,no
SO2865,,no,no
SO2871,,no,no
SO2879,,no,no
SO2881,,no,yes
SO2886,,no,no
SO2895,,no,yes
SO2899,,no,no
SO2901,,no,no
SO2903,,no,no
SO2911,,no,no
SO2912,,yes,no
SO2913,,yes,no
SO2915,,no,no
SO2916,,no,no
SO2923,,no,no
SO2937,,no,no
SO3019,,no,no
SO3020,,no,no
SO3021,,no,no
SO3022,,no,no
SO3023,,no,no
SO3024,,no,no
SO3057,,no,no
SO3063,,no,no
SO3064,,yes,no
SO3067,,yes,yes
SO3068,,no,no
SO3070,,yes,yes
SO3071,,no,no
SO3072,,yes,yes
SO3077,,no,no
SO3079,,yes,no
SO3099,,no,no
SO3108,,no,no
SO3116,,no,no
SO3130,,yes,no
SO3134,,no,no
SO3135,,no,no
SO3136,,no,no
SO3140,,no,no
SO3154,,yes,yes
SO3160,,no,yes
SO3167,,no,no
SO3173,,no,no
SO3175,,no,no
SO3186,,no,no
SO3188,,no,no
SO3189,,yes,no
SO3190,,no,no
SO3285,,no,no
SO3286,,no,no
SO3287,,yes,no
SO3292,,yes,no
SO3293,,yes,no
SO3311,,yes,yes
SO3312,,no,yes
SO3338,,no,no
SO3348,,no,no
SO3349,,no,no
SO3354,,yes,no
SO3365,,no,no
SO3413,,no,no
SO3414,,no,no
SO3415,,no,no
SO3424,,yes,yes
SO3427,,no,yes
SO3428,,yes,yes
SO3437,,no,yes
SO3438,,no,yes
SO3440,,no,yes
SO3441,,yes,yes
SO3442,,no,no
SO3455,,no,no
SO3463,,no,no
SO3464,,no,yes
SO3466,,yes,yes
SO3467,,no,no
SO3468,,yes,no
SO3469,,yes,yes
SO3471,,no,no
SO3496,,no,no
SO3503,,no,no
SO3505,,no,no
SO3506,,no,no
SO3507,,no,no
SO3509,,no,no
SO3517,,no,no
SO3529,,no,yes
SO3532,,yes,yes
SO3533,,yes,yes
SO3541,,no,no
SO3542,,no,no
SO3546,,no,yes
SO3547,,yes,yes
SO3553,,no,no
SO3554,,yes,no
SO3555,,yes,no
SO3559,,no,no
SO3562,,no,no
SO3575,,no,no
SO3579,,no,no
SO3598,,no,no
SO3599,,no,no
SO3600,,no,no
SO3601,,no,no
SO3602,,no,no
SO3613,,no,no
SO3631,,no,no
SO3638,,no,yes
SO3641,,no,no
SO3646,,yes,yes
SO3652,,yes,yes
SO3653,,no,yes
SO3664,,no,no
SO3683,,no,no
SO3695,,no,no
SO3705,,no,no
SO3706,,no,no
SO3709,,no,no
SO3715,,no,no
SO3723,,no,no
SO3726,,no,no
SO3727,,no,no
SO3728,,no,no
SO3736,,no,no
SO3737,,no,no
SO3738,,no,no
SO3740,,no,no
SO3741,,no,no
SO3745,,yes,no
SO3746,,yes,yes
SO3747,,no,no
SO3763,,yes,no
SO3771,,no,no
SO3774,,no,no
SO3778,,no,no
SO3779,,no,no
SO3780,,no,no
SO3803,,no,no
SO3804,,no,no
SO3817,,no,no
SO3827,,yes,yes
SO3834,,no,yes
SO3836,,no,yes
SO3837,,yes,yes
SO3855,,no,no
SO3863,,no,no
SO3864,,no,no
SO3865,,no,no
SO3916,,yes,no
SO3920,,no,no
SO3921,,no,no
SO3922,,no,no
SO3937,,no,no
SO3948,,yes,yes
SO3957,,yes,yes
SO3966,,no,no
SO3980,,no,no
SO3984,,no,no
SO3986,,no,no
SO3991,,yes,no
SO4004,,no,no
SO4054,,yes,no
SO4055,,no,no
SO4056,,yes,no
SO4060,,no,no
SO4061,,no,no
SO4062,,no,no
SO4066,,yes,no
SO4118,,no,no
SO4120,,yes,no
SO4123,,yes,yes
SO4133,,no,no
SO4136,,no,no
SO4144,,no,no
SO4190,,yes,yes
SO4198,,no,no
SO4199,,no,yes
SO4201,,no,yes
SO4208,,no,no
SO4214,,yes,yes
SO4218,,yes,yes
SO4219,,yes,yes
SO4221,,yes,yes
SO4222,,yes,yes
SO4223,,yes,yes
SO4224,,yes,yes
SO4230,,no,no
SO4232,,no,no
SO4233,,no,no
SO4234,,no,no
SO4235,,no,no
SO4236,,no,no
SO4245,,yes,no
SO4246,,yes,no
SO4249,,yes,yes
SO4250,,no,no
SO4254,,yes,yes
SO4255,,no,no
SO4274,,no,no
SO4281,,no,no
SO4282,,no,no
SO4289,,no,no
SO4290,,no,no
SO4291,,no,no
SO4292,,no,no
SO4296,,no,no
SO4297,,no,no
SO4299,,no,no
SO4308,,yes,yes
SO4309,,yes,no
SO4312,,no,no
SO4313,,no,yes
SO4314,,no,yes
SO4315,,no,no
SO4316,,no,no
SO4335,,no,no
SO4343,,no,no
SO4344,,no,no
SO4345,,no,no
SO4346,,no,no
SO4347,,no,no
SO4349,,no,no
SO4374,,no,no
SO4405,,no,no
SO4410,,yes,no
SO4417,,no,no
SO4480,,no,no
SO4509,,no,no
SO4510,,no,no
SO4511,,no,no
SO4513,,no,no
SO4514,,no,no
SO4515,,no,no
SO4520,,no,no
SO4525,,no,no
SO4573,,no,no
SO4575,,no,no
SO4576,,no,no
SO4591,,no,no
SO4601,,no,no
SO4602,,yes,yes
SO4606,,no,no
SO4607,,no,no
SO4609,,no,no
SO4614,,no,no
SO4652,,no,no
SO4653,,no,no
SO4654,,no,no
SO4655,,no,no
SO4672,,no,no
SO4673,,no,no
SO4674,,no,no
SO4676,,yes,no
SO4677,,yes,yes
SO4684,,yes,yes
SO4686,,no,no
SO4687,,no,no
SO4702,,no,no
SO4713,,no,no
SO4719,,no,no
SO4720,,no,no
SO4721,,no,no
SO4730,,no,no
SO4731,,no,no
SO4739,,no,no
SO4741,,yes,yes
SO4745,,yes,yes
SO4746,,no,yes
SO4747,,no,yes
SO4748,,no,yes
SO4749,,no,yes
SO4750,,no,yes
SO4751,,no,yes
SO4752,,no,yes
SO4753,,no,yes
SO4754,,no,yes
SO4778,,no,yes
SOA0161,,no,no
